Archivo;Ayuntamiento;Prioridad;Fila;Tipo;Descripción;Vertical;Sensores;Importe;Solicitado
AnexoIIBlanca1.pdf;Blanca;1;1;3;publi;1;6;10000.01;10000.01
AnexoIIBlanca1.pdf;Blanca;1;2;1;senso;3;5;10000;10000
AnexoIIBlanca1.pdf;Blanca;1;3;2;comu;5;4;10000;10000
AnexoIIBlanca1.pdf;Blanca;1;4;3;publi;7;3;10000;10000
AnexoIIBlanca1.pdf;Blanca;1;5;1;senso;9;2;10000;10000
AnexoIIBlanca1.pdf;Blanca;1;6;2;comu;10;1;10000;10000
AnexoIIBlanca1.pdf;Blanca;1;7;  ;; ;;10000;10000
AnexoIIBlanca1.pdf;Blanca;1;8;  ;; ;;10000;
AnexoIIBlanca1.pdf;Blanca;1;9;  ;; ;;10000;
AnexoIIBlanca1.pdf;Blanca;1;10;  ;; ;;10000;
AnexoIIBlanca1.pdf;Blanca;1;11;  ;; ;;10000;
AnexoIIBlanca1.pdf;Blanca;1;12;  ;; ;;10000;
AnexoIIBlanca1.pdf;Blanca;1;13;  ;; ;;10000;
AnexoIIBlanca1.pdf;Blanca;1;14;  ;; ;;10000;
AnexoIIBlanca1.pdf;Blanca;1;15;  ;; ;;10000;
AnexoIIBlanca1.pdf;Blanca;1;16;  ;; ;;10000;
AnexoIIBlanca1.pdf;Blanca;1;17;  ;; ;;10000;
AnexoIIBlanca1.pdf;Blanca;1;18;  ;; ;;10000;
