Archivo;Ayuntamiento;Prioridad;Fila;Tipo;Descripción;Vertical;Sensores;Importe;Solicitado
AnexoIIBullas1.pdf;Bullas;1;1;1;1;1;1;1;1
AnexoIIBullas1.pdf;Bullas;1;2;2;2;2;2;1;1
AnexoIIBullas1.pdf;Bullas;1;3;3;3;3;3;1;1
AnexoIIBullas1.pdf;Bullas;1;4;1;4;4;4;1;1
AnexoIIBullas1.pdf;Bullas;1;5;2;5;5;5;1;1
AnexoIIBullas1.pdf;Bullas;1;6;3;6;6;6;1;1
AnexoIIBullas1.pdf;Bullas;1;7;1;7;7;7;1;1
AnexoIIBullas1.pdf;Bullas;1;8;2;8;8;8;1;1
AnexoIIBullas1.pdf;Bullas;1;9;3;9;9;9;1;1
AnexoIIBullas1.pdf;Bullas;1;10;1;10;10;10;1;1
AnexoIIBullas1.pdf;Bullas;1;11;2;11;11;11;1;1
AnexoIIBullas1.pdf;Bullas;1;12;3;12;12;12;1;1
AnexoIIBullas1.pdf;Bullas;1;13;1;13;13;13;1;1
AnexoIIBullas1.pdf;Bullas;1;14;2;14;14;14;1;1
AnexoIIBullas1.pdf;Bullas;1;15;3;15;15;15;1;1
AnexoIIBullas1.pdf;Bullas;1;16;1;16;16;16;1;1
AnexoIIBullas1.pdf;Bullas;1;17;2;17;17;17;1;1
AnexoIIBullas1.pdf;Bullas;1;18;3;18;18;18;1;1
