Archivo;Ayuntamiento;Prioridad;Fila;Tipo;Descripción;Vertical;Sensores;Importe;Solicitado
AnexoIIPliego1.pdf;Pliego;1;1;1;1;18;1;2;3
AnexoIIPliego1.pdf;Pliego;1;2;2;22;17;2;2;3
AnexoIIPliego1.pdf;Pliego;1;3;3;333;16;3;2;3
AnexoIIPliego1.pdf;Pliego;1;4;1;4444;15;4;2;3
AnexoIIPliego1.pdf;Pliego;1;5;2;55555;14;5;2;3
AnexoIIPliego1.pdf;Pliego;1;6;3;666666;13;6;2;3
AnexoIIPliego1.pdf;Pliego;1;7;1;7777777;12;7;2;3
AnexoIIPliego1.pdf;Pliego;1;8;2;88888888;11;8;2;3
AnexoIIPliego1.pdf;Pliego;1;9;3;999999999;10;9;2;3
AnexoIIPliego1.pdf;Pliego;1;10;1;1;8;10;2;3
AnexoIIPliego1.pdf;Pliego;1;11;2;22;8;11;2;3
AnexoIIPliego1.pdf;Pliego;1;12;3;333;7;12;2;3
AnexoIIPliego1.pdf;Pliego;1;13;1;4444;6;13;2;3
AnexoIIPliego1.pdf;Pliego;1;14;2;55555;5;14;2;3
AnexoIIPliego1.pdf;Pliego;1;15;3;666666;4;15;2;3
AnexoIIPliego1.pdf;Pliego;1;16;1;7777777;3;16;2;3
AnexoIIPliego1.pdf;Pliego;1;17;2;88888888;2;17;2;3
AnexoIIPliego1.pdf;Pliego;1;18;3;999999999;1;18;2;3
