Archivo;Ayuntamiento;Prioridad;Fila;Tipo;Descripción;Vertical;Sensores;Importe;Solicitado
AnexoIITorreCotillas1.pdf;TorreCotillas;1;1;2;AAAA;1;1;1;1
AnexoIITorreCotillas1.pdf;TorreCotillas;1;2;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;3;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;4;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;5;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;6;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;7;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;8;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;9;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;10;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;11;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;12;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;13;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;14;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;15;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;16;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;17;  ;; ;;;
AnexoIITorreCotillas1.pdf;TorreCotillas;1;18;  ;; ;;;
